,file_name,date,animal,minute
0,20171027_ANIMAL2_0min,20171027,2,0
1,20171027_ANIMAL2_10min,20171027,2,10
2,20171027_ANIMAL2_11min,20171027,2,11
3,20171027_ANIMAL2_12min,20171027,2,12
4,20171027_ANIMAL2_13min,20171027,2,13
5,20171027_ANIMAL2_14min,20171027,2,14
6,20171027_ANIMAL2_15min,20171027,2,15
7,20171027_ANIMAL2_16min,20171027,2,16
8,20171027_ANIMAL2_17min,20171027,2,17
9,20171027_ANIMAL2_18min,20171027,2,18
10,20171027_ANIMAL2_19min,20171027,2,19
11,20171027_ANIMAL2_1min,20171027,2,1
12,20171027_ANIMAL2_20min,20171027,2,20
13,20171027_ANIMAL2_21min,20171027,2,21
14,20171027_ANIMAL2_22min,20171027,2,22
15,20171027_ANIMAL2_23min,20171027,2,23
16,20171027_ANIMAL2_24min,20171027,2,24
17,20171027_ANIMAL2_25min,20171027,2,25
18,20171027_ANIMAL2_26min,20171027,2,26
19,20171027_ANIMAL2_27min,20171027,2,27
20,20171027_ANIMAL2_28min,20171027,2,28
21,20171027_ANIMAL2_29min,20171027,2,29
22,20171027_ANIMAL2_2min,20171027,2,2
23,20171027_ANIMAL2_30min,20171027,2,30
24,20171027_ANIMAL2_31min,20171027,2,31
25,20171027_ANIMAL2_32min,20171027,2,32
26,20171027_ANIMAL2_33min,20171027,2,33
27,20171027_ANIMAL2_34min,20171027,2,34
28,20171027_ANIMAL2_35min,20171027,2,35
29,20171027_ANIMAL2_36min,20171027,2,36
30,20171027_ANIMAL2_37min,20171027,2,37
31,20171027_ANIMAL2_38min,20171027,2,38
32,20171027_ANIMAL2_39min,20171027,2,39
33,20171027_ANIMAL2_3min,20171027,2,3
34,20171027_ANIMAL2_40min,20171027,2,40
35,20171027_ANIMAL2_41min,20171027,2,41
36,20171027_ANIMAL2_42min,20171027,2,42
37,20171027_ANIMAL2_43min,20171027,2,43
38,20171027_ANIMAL2_44min,20171027,2,44
39,20171027_ANIMAL2_45min,20171027,2,45
40,20171027_ANIMAL2_46min,20171027,2,46
41,20171027_ANIMAL2_47min,20171027,2,47
42,20171027_ANIMAL2_48min,20171027,2,48
43,20171027_ANIMAL2_49min,20171027,2,49
44,20171027_ANIMAL2_4min,20171027,2,4
45,20171027_ANIMAL2_50min,20171027,2,50
46,20171027_ANIMAL2_51min,20171027,2,51
47,20171027_ANIMAL2_52min,20171027,2,52
48,20171027_ANIMAL2_53min,20171027,2,53
49,20171027_ANIMAL2_54min,20171027,2,54
50,20171027_ANIMAL2_55min,20171027,2,55
51,20171027_ANIMAL2_56min,20171027,2,56
52,20171027_ANIMAL2_57min,20171027,2,57
